timestamp,event_type,reason,latitude,longitude
11/19/2025 13:10,ENTRY,pps=10.45 for 3s (smoothed),36.13030502,-97.10793756
11/19/2025 13:11,EXIT,pps~0 for 4s (smoothed),36.13035121,-97.09386218
11/19/2025 13:14,ENTRY,pps=10.45 for 3s (smoothed),36.13038062,-97.09624762
11/19/2025 13:15,EXIT,pps~0 for 4s (smoothed),36.13033461,-97.11091126
11/19/2025 13:18,ENTRY,pps=10.45 for 3s (smoothed),36.13032678,-97.1079621
11/19/2025 13:18,EXIT,pps~0 for 4s (smoothed),36.13035808,-97.09672953
11/19/2025 13:19,ENTRY,pps=10.45 for 3s (smoothed),36.13035867,-97.09582228
11/19/2025 13:19,EXIT,pps~0 for 4s (smoothed),36.13036865,-97.09378606
11/19/2025 13:21,ENTRY,pps=10.45 for 3s (smoothed),36.13038841,-97.09637194
11/19/2025 13:21,EXIT,pps~0 for 4s (smoothed),36.1303469,-97.1080524
11/19/2025 13:22,ENTRY,pps=10.45 for 3s (smoothed),36.13031457,-97.10883172
11/19/2025 13:23,EXIT,pps~0 for 4s (smoothed),36.1303502,-97.09668369
11/19/2025 13:23,ENTRY,pps=10.45 for 3s (smoothed),36.13035569,-97.09571114
11/19/2025 13:23,EXIT,pps~0 for 4s (smoothed),36.13036143,-97.09355672
11/19/2025 13:24,ENTRY,pps=10.45 for 3s (smoothed),36.13039056,-97.09708346
11/19/2025 13:25,EXIT,pps~0 for 4s (smoothed),36.13035455,-97.10993669
11/19/2025 13:26,ENTRY,pps=10.45 for 3s (smoothed),36.13031931,-97.1079871
